idx,id,code,path,sequencelength,classid,classname,region,fold
0,25301006,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301006.csv,79,8,Alfalfa,Garfield,3
1,25307383,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307383.csv,81,8,Alfalfa,Garfield,3
2,25307210,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307210.csv,81,8,Alfalfa,Garfield,3
3,25301175,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301175.csv,79,8,Alfalfa,Garfield,3
4,25307211,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307211.csv,81,8,Alfalfa,Garfield,3
5,25301010,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301010.csv,79,8,Alfalfa,Garfield,3
6,25301252,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301252.csv,79,8,Alfalfa,Garfield,3
7,26501686,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\26501686.csv,74,8,Alfalfa,Garfield,1
8,22104602,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22104602.csv,67,8,Alfalfa,Garfield,1
9,25301003,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301003.csv,79,8,Alfalfa,Garfield,3
10,25301251,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301251.csv,79,8,Alfalfa,Garfield,3
11,25301096,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301096.csv,79,8,Alfalfa,Garfield,3
12,25306803,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25306803.csv,84,8,Alfalfa,Garfield,3
13,25301092,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301092.csv,79,8,Alfalfa,Garfield,3
14,22104703,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22104703.csv,66,8,Alfalfa,Garfield,1
15,22104601,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22104601.csv,68,8,Alfalfa,Garfield,1
16,25301004,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301004.csv,79,8,Alfalfa,Garfield,3
17,25300928,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300928.csv,79,8,Alfalfa,Garfield,3
18,25307307,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307307.csv,81,8,Alfalfa,Garfield,3
19,25300842,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300842.csv,79,8,Alfalfa,Garfield,3
20,25300929,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300929.csv,79,8,Alfalfa,Garfield,3
21,25307696,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307696.csv,81,8,Alfalfa,Garfield,3
22,25301011,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301011.csv,79,8,Alfalfa,Garfield,3
23,25301093,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301093.csv,79,8,Alfalfa,Garfield,3
24,25307920,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307920.csv,81,8,Alfalfa,Garfield,3
25,25301178,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301178.csv,79,8,Alfalfa,Garfield,3
26,25300925,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300925.csv,79,8,Alfalfa,Garfield,3
27,25306802,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25306802.csv,83,8,Alfalfa,Garfield,3
28,25300927,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300927.csv,79,8,Alfalfa,Garfield,3
29,25306876,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25306876.csv,83,8,Alfalfa,Garfield,3
30,25301095,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301095.csv,79,8,Alfalfa,Garfield,3
31,24104030,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24104030.csv,67,8,Alfalfa,Garfield,2
32,22104657,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22104657.csv,67,8,Alfalfa,Garfield,1
33,25307306,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307306.csv,81,8,Alfalfa,Garfield,3
34,25301009,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301009.csv,79,8,Alfalfa,Garfield,3
35,25307382,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307382.csv,81,8,Alfalfa,Garfield,3
36,25300843,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300843.csv,79,8,Alfalfa,Garfield,3
37,25301094,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25301094.csv,79,8,Alfalfa,Garfield,3
38,22104659,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\22104659.csv,68,8,Alfalfa,Garfield,1
39,24104029,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\24104029.csv,67,8,Alfalfa,Garfield,2
40,25300926,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25300926.csv,79,8,Alfalfa,Garfield,3
41,25307921,36,D:\DadaX\PhD\Research\0. CurrentWork\data\2019\Garfield\25307921.csv,81,8,Alfalfa,Garfield,3
