idx,id,code,confidence,path,sequencelength,classid,classname,region,fold
0,23404364,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404364.csv,68,8,Alfalfa,Garfield,5
1,23404360,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404360.csv,67,8,Alfalfa,Garfield,5
2,23404363,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404363.csv,67,8,Alfalfa,Garfield,5
3,24102968,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24102968.csv,69,8,Alfalfa,Garfield,2
4,23404507,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404507.csv,68,8,Alfalfa,Garfield,5
5,23404176,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404176.csv,67,8,Alfalfa,Garfield,5
6,24103019,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103019.csv,69,8,Alfalfa,Garfield,2
7,23404429,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404429.csv,68,8,Alfalfa,Garfield,5
8,23404432,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404432.csv,67,8,Alfalfa,Garfield,5
9,24103164,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24103164.csv,70,8,Alfalfa,Garfield,2
10,25300664,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25300664.csv,68,8,Alfalfa,Garfield,3
11,23404816,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404816.csv,69,8,Alfalfa,Garfield,5
12,23404589,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404589.csv,67,8,Alfalfa,Garfield,5
13,23404302,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404302.csv,68,8,Alfalfa,Garfield,5
14,22104617,36,96,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\22104617.csv,65,8,Alfalfa,Garfield,1
15,23404504,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404504.csv,68,8,Alfalfa,Garfield,5
16,24101962,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\24101962.csv,68,8,Alfalfa,Garfield,2
17,23404301,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404301.csv,68,8,Alfalfa,Garfield,5
18,23404664,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404664.csv,68,8,Alfalfa,Garfield,5
19,23404505,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\23404505.csv,68,8,Alfalfa,Garfield,5
20,25300726,36,100,D:\DadaX\PhD\Research\0. CurrentWork\data\2020\Garfield\25300726.csv,68,8,Alfalfa,Garfield,3
